CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,50,1513.9,1348.21,165.69,1596
CONSTRUCTION,6,1223,919.55,303.46,324
ENERGY BASED,29,83081.73,82381.08,700.64,2392
MANUFACTURING,90,17393.13,13893.52,3499.61,6059
MINERAL,7,251,223.5,27.5,680
SERVICE,135,8063.16,5968.56,2094.6,4952
TOURISM,145,21388.37,18509.23,2879.14,6578
