SCALE,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
LARGE,92,121901.41,114637.02,7264.39,9890
MEDIUM,79,6196.96,4694.32,1502.65,4203
SMALL,291,4815.9,3912.31,903.59,8488
TOTAL,462,132914.27,123243.64,9670.63,22581
