CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,367,16500.02,13915.69,2702.34,32376
CONSTRUCTION,47,42442.03,41544.56,897.48,3142
ENERGY BASED,256,576476.61,561508.84,14967.77,26401
MANUFACTURING,2506,216752.27,160445.05,56777.72,280801
MINERAL,61,4366.91,3846.99,522.02,6399
SERVICE,1685,111961.37,76665.07,35342.3,104009
TOURISM,1187,73015.88,64878.98,8128.69,49464
TOTAL,6109,1041515.11,922805.19,119338.32,502592
