Particulars,Rs. in Billion,0,0,Percent Change,0
0,2014/15,2015/16,2016/17,2015/161,2016/172
"Gross Domestic Product 
(at Producers' Prices)","2,130.15","2,247.43","2,599.23",5.5,15.7
"Factor Income, Net",34.24,34,27.79,-0.7,-18.3
"Current Transfer, Net",709.96,778.19,843.66,9.6,8.4
Gross National Disposable Income,"2,874.35","3,059.62","3,470.68",6.4,13.4
