Country,Import,Percentage
India,812.55,65.25
China P. R.,159.98,12.84
France,20.84,1.67
Vietnam,13.53,1.08
Thailand,13.23,1.06
U.A.E.,13.21,1.06
Indonesia,12.47,1.00
Argentina,10.23,0.82
Korea R,10.16,0.81
Malaysia,10.15,0.81
U.S.A.,9.89,0.79
Saudi Arabia,9.01,0.72
Canada,8.01,0.64
Germany,7.89,0.63
Other Countries,134.04,10.76
Grand Total,"1,245.19",100
