CATEGORY,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,22.00,359.50,307.90,51.60,297.30,554.00
CONSTRUCTION,1.00,20.00,5.00,15.00,10.00,0.00
ENERGY BASED,3.00,3716.92,3690.56,26.35,1827.13,41.00
MANUFACTURING,49.00,5842.65,4880.00,962.65,3167.95,2735.00
SERVICE,143.00,8491.21,3528.71,4962.51,7937.01,5272.00
TOURISM,122.00,1957.30,1626.26,331.04,1891.13,2803.00
TOTAL,341.00,20396.69,14045.54,6351.15,15139.63,11426.00
