SCALE,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
LARGE,77,107899.06,98265.71,9633.35,7601
MEDIUM,72,4741.14,3465.44,1275.7,3618
SMALL,261,9367.01,3186.44,6180.57,7741
