SCALE,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
LARGE,266,275621.57,254292.09,22865.35,137042.73,53205
MEDIUM,383,38870.77,24403.81,13923.78,24675.54,39745
SMALL,3127,46365.44,30447.07,15543.81,38163.31,127546
TOTAL,3776,360857.78,309142.98,52332.94,199881.57,220496
