SCALE,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
LARGE,856,981326.79,911717.56,69609.23,126974
MEDIUM,1481,123872.72,83105.4,41248.82,140816
SMALL,4186,64159.81,38259.03,26047.69,253966
TOTAL,6523,1169359.32,1033081.98,136905.74,521756
