CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,395,17487.92,14700.32,2905.61,33414
CONSTRUCTION,48,42477.03,41569.46,907.58,3223
ENERGY BASED,271,614821.51,599636.71,15184.8,27079
MANUFACTURING,2641,275417.24,212063.3,63824.44,289580
MINERAL,61,4366.91,3846.99,522.02,6399
SERVICE,1805,123820.87,79526.88,44339.99,108448
TOURISM,1302,90967.83,81738.33,9221.3,53613
TOTAL,6523,1169359.32,1033081.98,136905.74,521756
