Sector,2014/15,2015/16,2016/17,2017/18
Industrial Sector,2,299.2,1,387.9,5,161.0,11,914.7
Hydropower Sector,2,874.5,3,154.3,3,264.9,2,926.4
Financial Sector,1,794.4,13.7,13.7,886.6
Communication Sector,4.0,1,692.8,8,692.6,23,649.9
Other Service Sector,238.6,4.1,108.4,152.9
Total,7,210.7,6,252.8,17,240.6,39,530.5
