Scale,No.Of Industry,Proposed Total Capital (In Million Rupees),Proposed Fixed Capital (In Million Rupees),Proposed Working Capital (In Million Rupees),Proposed Employment (In Number)
Large,1112.00,1710985.69,1598857.47,112128.22,158118.00
Medium,1731.00,167541.86,116401.51,51621.86,158996.00
Small,5124.00,85214.92,53734.78,31627.04,281386.00
Total,7967.00,1963742.48,1768993.76,195377.11,598500.00
