Province,No. Of Industry,Total Capital (In Million Rupees),Fixed Capital (In Million Rupees),Working Capital (In Million Rupees),Proposed Employment (In Number)
Province No. 1,56.00,63219.01,59271.47,3947.56,3641.00
Province No. 2,30.00,10795.49,8860.63,1934.85,3406.00
Province No. 3,262.00,108390.60,103220.34,5170.27,10052.00
Gandaki Province,55.00,70112.12,64893.09,5219.04,3246.00
Province No. 5,25.00,18423.62,16459.69,1963.90,2008.00
Karnali Province,1.00,5.00,3.50,1.50,15.00
Sudur Paschim Province,7.00,11733.43,10854.36,879.07,593.00
Total,436.00,282679.27,263563.08,19116.19,22961.00
