Scale,No.Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees),Proposed Employment (In Number)
Large,12.00,11096.49,8715.62,2380.87,7958.57,2399.00
Medium,58.00,11955.28,9452.18,2503.11,11291.65,4516.00
Small,273.00,6410.33,4965.94,1444.39,5749.03,7629.00
Total,343.00,29462.11,23133.74,6328.36,24999.25,14544.00
