  -,Total,"Agriculture,Mining and forestry and quarrying
fishing",Mining and quarying,Manufacturing,"Electricity,gas,steam air conditioning supply","Water supply; sewerage, waste mgmt. & remedia- tion activities",Construction ,Wholesale and retail trade; repair of vehicles & motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication
Both Sexes,9929562,6355735,26026,559282,13986,11082,335827,695915,224683,137810,31840
Male,5656027,3081814,18809,405719,12969,9260,300747,478824,216662,85853,25327
Female,4273535,3273921,7217,153563,1017,1822,35079,217092,8021,51958,6513
