     -,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities","Administrative and support service activities 
activities                     security",Public administration and defense; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activitie,"Activities of households as employers
employer",Activities of extraterritorial org. and bodies,Not Stated
Both Sexes,70347,6812,21424,85741,146547,368490,80784,11638,180255,310178,12610,242549
Male,48295,6068,17604,69237,126080,235388,48744,8749,129914,146676,8711,174577
Female,22052,744,3820,16503,20467,133102,32041,2889,50340,163502,3900,67972
