Scale,No. Of Industry,Proposed Total Capital (in million Rupees),Proposed Fixed Capital (in million Rupees),Proposed Working Capital (in million Rupees),Proposed Employment (in Number)
Large,1030.00,1452564.28,1353803.92,98760.36,149263.00
Medium,1640.00,149426.37,102456.94,47450.94,152504.00
Small,4859.00,78929.22,49054.29,30021.83,273729.00
Total,7529.00,1680919.87,1505315.15,176233.12,575496.00
