Category,No. Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees),Proposed Employment (In Number)
Agro And Forestry Based,20.00,2166.00,2092.12,73.88,1936.00,624.00
Energy Based,6.00,37913.42,37654.27,259.16,36251.50,674.00
Information Technology,26.00,585.00,310.05,274.96,537.80,788.00
Manufacturing,67.00,9097.93,7687.60,1410.33,6845.97,3530.00
Mineral,3.00,3800.00,3030.50,769.50,3800.00,510.00
Service,119.00,2976.95,2419.12,557.83,2235.74,3821.00
Tourism,156.00,4769.80,3915.45,854.35,4123.38,3952.00
Total,397.00,61309.11,57109.11,4200.00,55730.38,13899.00
