CATEGORY,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,21.00,289.00,246.82,42.18,256.46,429.00
CONSTRUCTION,1.00,17.00,10.20,6.80,10.20,75.00
INFORMATION TECHNOLOGY,8.00,88.74,69.50,19.24,88.74,318.00
MANUFACTURING,55.00,4019.50,2883.98,1135.52,3732.35,2438.00
MINERAL,2.00,40.00,31.20,8.80,38.50,110.00
SERVICE,159.00,5983.37,3046.40,2936.89,5018.29,4848.00
TOURISM,155.00,6610.90,6080.20,530.61,6008.49,4022.00
TOTAL,401.00,17048.50,12368.50,4680.00,15153.03,12240.00
