CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,25.00,3261.60,2998.48,263.12,831.00
CONSTRUCTION,3.00,1690.00,1287.00,403.00,172.00
ENERGY BASED,19.00,82203.05,80280.89,1922.16,1679.00
INFORMATION TECHNOLOGY,14.00,898.50,799.28,99.22,764.00
MANUFACTURING,125.00,43963.88,33758.66,10205.21,10675.00
MINERAL,3.00,81.70,57.90,23.80,130.00
SERVICE,165.00,15853.56,12177.92,3675.64,7012.00
TOURISM,154.00,14999.72,13547.12,1452.60,5215.00
TOTAL,508.00,162952.00,144907.00,18045.00,26478.00
