CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,420.00,20749.50,17698.80,3168.70,34245.00
CONSTRUCTION,51.00,44167.00,42856.40,1310.50,3395.00
ENERGY BASED,289.00,695524.50,678437.60,17086.90,28668.00
INFORMATION TECHNOLOGY,14.00,898.50,799.28,99.22,764.00
MANUFACTURING,2767.00,319430.90,245864.20,74037.10,300312.00
MINERAL,64.00,4448.61,3904.89,545.82,6529.00
SERVICE,1970.00,139674.40,91704.81,48015.63,115460.00
TOURISM,1456.00,105215.00,94574.45,10632.40,58732.00
TOTAL,7031.00,1330108.00,1175840.00,154896.00,548105.00
