CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
LARGE,97.00,144968.20,131628.28,13339.92,12249.00
MEDIUM,81.00,10383.65,7699.25,2684.40,4915.00
SMALL,330.00,7600.17,5579.73,2020.43,9314.00
TOTAL,508.00,162952.01,144907.26,18044.75,26478.00
