NAME OF INDUSTRY,PREFERENTIAL EXPORT GOOD,PRODUCTION CAPACITY (YEAR),RECOMMENDED AMOUNT,AMOUNT UNIT
"Aashirbad Pashmina Industries, Kathmandu","Pashmina shawl, stole, Scarf","2,500 Pcs",1500.00,Pcs
"Relliace Sugar and Chemical Industries Pvt. Ltd., Bara",Molasses (By products),"15,000 MT",5000.00,MT
"Aarati Steels Pvt. Ltd., Morang",Colour Coated Almunium Coil/Sheet,"5,000 MT",1500.00,MT
"Prestige Mat Industries, Bara",PVC Mat/ Plastic Mats,"10,54,080 Sq. Mtrs",300000.00,Sq. Mtrs
"Jagadamba Enterprises Pvt. Ltd. , Parsa",MS Black pipes,"36,000 MT",8000.00,MT
"Kurausi Bone Procession Industries, Banke",Bone Chips & senewes,"1,500 MT",200.00,MT
"Jaya Bageshwori Rosin and Turpentine Industries Pvt. Ltd., Banke",Rosin,"23,90,000 Ltrs",150.00,MT
"Jaya Bageshwori Rosin and Turpentine Industries Pvt. Ltd., Banke",Turpentine,,30.00,KL
"Dipmala Rosin and Turpentine Industries, Banke",Rosin ,"2,190 MT",500.00,MT
"Dipmala Rosin and Turpentine Industries, Banke",Turpentine,495 KL,100.00,KL
"Shivashakti Chemoplast Pvt. Ltd., Parsa",Woven fabric/sacks,"10,000 MT",5000.00,MT
"Himalayan Kathha Industries Pvt. Ltd., Siraha",Kattha (Biscuit) ,360 MT,180.00,MT
"Himalayan Kathha Industries Pvt. Ltd., Siraha",Cutch,720 MT,360.00,MT
"Pioneer Rubber Factory, Sunsari",Crumb rubber,"6,800 MT",2000.00,MT
"Pioneer Rubber Factory, Sunsari",Reclaim rubber,,200.00,MT
"Balaji Natural Industries, Makawanpur",Rosin ,"2,100 MT",200.00,MT
"Balaji Natural Industries, Makawanpur",Turpentine,360 MT,40.00,MT
"Jagadamba Enterprises Pvt. Ltd., Parsa",Zinc Dross,100 MT,160.00,MT
"Jagadamba Enterprises Pvt. Ltd., Parsa",Zinc Ash,50 MT,,
"Jagadamba Enterprises Pvt. Ltd., Parsa",Zinc Blowing,50 MT,,
"Rajesh Metal Crafts Pvt. Ltd., Bara",Zinc residue- Ash (By product),975 MT,300.00,MT
"Rajesh Metal Crafts Pvt. Ltd., Bara",CR sheet/coil/slits,"20,000 MT",2500.00,MT
"Bageshwori Kathha Industries Pvt. Ltd., Banke",Liquid Kattha,"1,580 MT",200.00,MT
"Rachana Plastic Industries, Sunsari",Pet perform Pet Cap,360 MT,100.00,MT
"Shuvalav Knitting and Fabrics Pvt. Ltd., Morang",Mosquito Net,145 MT,100.00,MT
"Advanced Neutritions Pvt. Ltd., Bara",Feed Premix,"4,000 MT",1500.00,MT
"Bangalamukhi Rosin and Turpentine Industries Pvt. Ltd., Banke",Rosin ,"3,000 MT",1000.00,MT
"Bangalamukhi Rosin and Turpentine Industries Pvt. Ltd., Banke",Turpentine,,200.00,KL
"Necon KB Plasto Engineering Industries Pvt. Ltd., Parsa",HDPE/PP woven fabric,"12,000 MT",1500.00,MT
