(Rs. mln),,,,
Category,No. of Industries,Total Project Cost,Total Fixed Cost,Total No. of Employment
Agro-Based,12,161.20,142.70,396
Construction,2,490.00,456.00,176
Energy Based,33,55014.91,53263.61,1816
Manufacturing,59,17189.88,14780.78,6527
Mineral,7,164.00,129.14,607
Service,105,9596.70,8940.72,5530
Tourism,61,1810.71,1648.91,1908
Total,279,84427.39,79361.86,16960
