SCALE,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
LARGE,72,270384.55,262604.83,7779.72,8605
MEDIUM,76,15166.75,11045.79,4120.97,5347
SMALL,223,3756.34,3048.15,708.19,7586
TOTAL,371,289307.65,276698.77,12608.88,21538
