SCALE,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
LARGE,686,745704.32,693468.04,52236.29,109334
MEDIUM,1330,112934.61,74945.63,38470.48,132995
SMALL,3630,49761.9,30999.88,18908.92,237517
TOTAL,5646,908400.83,799413.55,109615.68,479846
