CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,317,14986.13,12567.48,2536.65,30780
CONSTRUCTION,41,41219.03,40625.01,594.02,2818
ENERGY BASED,227,493394.89,479127.76,14267.13,24009
MANUFACTURING,2415,199159.15,146403.53,53226.11,274577
MINERAL,54,4115.91,3623.49,494.52,5719
SERVICE,1550,103898.21,70696.52,33247.7,99057
TOURISM,1042,51627.51,46369.75,5249.56,42886
TOTAL,5646,908400.83,799413.55,109615.68,479846
