CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
AGRO AND FORESTRY BASED,46,1566.68,1299.41,267.27,1627
CONSTRUCTION,1,35000,34750,250,100
ENERGY BASED,43,223658.24,218728.42,4929.82,4747
MANUFACTURING,96,18082.99,14542.48,3540.5,7966
MINERAL,2,105,81,24,262
SERVICE,99,5061.96,1790.76,3271.21,3584
TOURISM,84,5832.77,5506.7,326.08,3252
TOTAL,371,289307.65,276698.77,12608.88,21538
