SCALE,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
LARGE,14.00,31811.29,30184.35,1626.94,12002.66
MEDIUM,27.00,4301.20,1153.80,3147.40,3938.45
SMALL,264.00,4599.78,3688.77,911.01,4166.31
TOTAL,305.00,40712.27,35026.93,5685.35,20107.42
