DISTRICT,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
BAJHANG,1.00,15.00,12.30,12.00,70.00
BANKE,2.00,540.00,512.00,76.00,91.00
BARA,1.00,100.00,80.00,77.44,68.00
BARDIYA,1.00,90.00,70.00,90.00,130.00
BHAKTAPUR,1.00,31.31,21.89,15.66,24.00
CHITWAN,5.00,260.30,186.80,225.55,259.00
DADELDHURA,1.00,10.00,8.50,10.00,27.00
DANG,2.00,50.00,43.00,50.00,292.00
DARCHULA,1.00,6.40,4.20,4.48,57.00
GORKHA,1.00,15.00,13.50,15.00,33.00
HUMLA,1.00,10.00,9.10,7.50,17.00
JAJARKOT,1.00,600.00,580.00,600.00,280.00
KAILALI,2.00,80.00,67.50,80.00,145.00
KANCHANPUR,3.00,62.40,55.40,58.68,195.00
KASKI,27.00,7295.91,6896.62,5574.10,1158.00
KATHMANDU,151.00,5873.57,4075.95,4060.57,4970.00
KAVRE,4.00,45.00,39.30,44.00,99.00
LALITPUR,80.00,4737.85,2707.42,3963.61,2702.00
MAKWANPUR,1.00,20.00,10.50,20.00,58.00
MORANG,2.00,71.24,24.27,71.24,33.00
MUSTANG,1.00,25.50,19.50,22.95,35.00
MYAGDI,1.00,17000.00,16910.00,4080.00,0.00
NAWALPARASI,1.00,8.50,4.68,5.00,0.00
PARSA,3.00,78.50,56.80,78.50,403.00
RASUWA,1.00,2900.00,2000.00,126.00,0.00
RUPANDEHI,3.00,71.80,62.90,60.04,63.00
SOLUKHUMBU,2.00,300.00,216.00,300.00,112.00
SUNSARI,3.00,389.00,321.00,354.10,112.00
Unspecified District,2.00,25.00,17.80,25.00,91.00
TOTAL,305.00,40712.27,35026.93,20107.42,11732.00
