Exports from Nepal to Bangladesh
A. Primary Commodities
"1. Rice, Wheat and other cereals"
2. Pulses
3. Mustard seeds and oil
4. Other oilseeds and oilcakes
5. Timber and Wood products
6. Boulders and Shingles
7. Catechu
8. Bidi and Tobacco   [Image]
"9. Big cardamom, ginger and chilies"
10. Medicinal plants and herbs
"11. Wool  
12. Bristles"
13. Cheese and ghee
14. Strawboard
15. Synthetic textiles
16. Stainless steel utensils
17. Woolen carpets
18. Curios and Handicrafts
