"Census 
year","Foreign 
born 
population","Foreign  born 
as % of total","Foreign 
citizens 
in 
Nepal","Foreign citizen 
as % of total",Total population
1961,337620,3.59,110061,1.17,9412996
1971,337448,2.92,136477,1.18,11555983
1981,234039,1.56,483019,3.21,15022839
1991,439488,2.38,90427,0.49,18491097
2001,608093,2.67,116571,0.59,22736934
2011,479625,1.8,138910,0.6,26494504
