Age group,1961,1971,1981,1991,2001,2006,2011
15-19,25.7,39.3,49.2,52.7,66.1,67.7,71
20-24,5.3,7.9,13.1,12.8,21,17.9,22.6
25-29,1.9,2.6,5.4,3.7,5.6,4.4,7
30-35,1,1.4,3.1,1.9,2.6,1.6,2
35-39,0.8,1.1,2.6,1.3,1.8,1.4,1.4
40-44,0.7,0.9,2.5,1.1,1.5,1.3,1.2
45-49,0.6,0.8,2.9,0.9,1.2,1.2,1.3
