"Category","No. Of 
Projects","Total 
Capital","Fixed 
Capital","Working 
Capital","Foreign 
Investment","No. Of 
Employment"
"Large","228","165,769.77","149,190.95","18,114.68","62,061.26","48,446"
"Medium","295","25,374.30","14,992.13","9,839.00","15,090.91","35,026"
"Small","2,129","24,946.97","16,721.02","7,851.40","17,934.03","97,579"
"TOTAL","2,652","216,091.04","180,904.09","35,805.08","95,086.20","181,051"
