Sector,F.Y. 2015/16,,,F.Y. 2016/17,,
,Net Profit,No. of Employees,Net Profit / Employee,Net Profit,No. of Employees,Net Profit / Employee
Industrial,1588,2241,0.71,-3107,2245,-1.38
Trading,192470,1728,111.38,120647,1568,76.94
Service,15187,2787,5.45,17323,2576,6.72
Social,-1821,1487,-1.22,-3723,1373,-2.71
Public Utility,43239,12729,3.40,166495,13232,12.58
Financial,98061,8036,12.20,116643,7411,15.74
Total,348725,29008,12.02,414277,28405,14.58
Rs. in Lakh,,,,,,
